Household_Income,ID_Year,geoid,latitude,longitude
102448.0,2018.0,42101000100,+39.9523827,-075.1466628
47243.0,2018.0,42101000200,+39.9553999,-075.1569775
91354.0,2018.0,42101000300,+39.9568780,-075.1716655
62821.0,2018.0,42101000401,+39.9541871,-075.1758082
78648.0,2018.0,42101000402,+39.9532973,-075.1686952
43702.0,2018.0,42101000500,+39.9519534,-075.1581776
82833.0,2018.0,42101000600,+39.9493845,-075.1583354
55250.0,2018.0,42101000700,+39.9510463,-075.1729143
125822.0,2018.0,42101000801,+39.9497374,-075.1804054
59560.0,2018.0,42101000803,+39.9493748,-075.1742489
92281.0,2018.0,42101000804,+39.9485646,-075.1677563
44444.0,2018.0,42101000901,+39.9478866,-075.1623004
59174.0,2018.0,42101000902,+39.9471596,-075.1566389
104250.0,2018.0,42101001001,+39.9456722,-075.1516020
122358.0,2018.0,42101001002,+39.9450045,-075.1466193
65000.0,2018.0,42101001101,+39.9449918,-075.1625240
64038.0,2018.0,42101001102,+39.9442654,-075.1566960
107175.0,2018.0,42101001201,+39.9471666,-075.1798721
80696.0,2018.0,42101001202,+39.9459117,-075.1699475
111467.0,2018.0,42101001300,+39.9445258,-075.1862050
94049.0,2018.0,42101001400,+39.9429436,-075.1715930
66458.0,2018.0,42101001500,+39.9419037,-075.1591158
96417.0,2018.0,42101001600,+39.9402546,-075.1483127
108125.0,2018.0,42101001700,+39.9377593,-075.1483114
86042.0,2018.0,42101001800,+39.9399998,-075.1593091
91188.0,2018.0,42101001900,+39.9400454,-075.1722270
42500.0,2018.0,42101002000,+39.9381416,-075.1843145
53429.0,2018.0,42101002100,+39.9372214,-075.1768955
63628.0,2018.0,42101002200,+39.9364111,-075.1703923
64107.0,2018.0,42101002300,+39.9348217,-075.1629799
74395.0,2018.0,42101002400,+39.9367634,-075.1595100
60179.0,2018.0,42101002500,+39.9342960,-075.1498023
54957.0,2018.0,42101002701,+39.9285526,-075.1537033
66042.0,2018.0,42101002702,+39.9280114,-075.1495606
52340.0,2018.0,42101002801,+39.9289729,-075.1568319
67183.0,2018.0,42101002802,+39.9288001,-075.1614073
52452.0,2018.0,42101002900,+39.9306984,-075.1655729
51667.0,2018.0,42101003001,+39.9290640,-075.1719912
32115.0,2018.0,42101003002,+39.9327263,-075.1711915
37121.0,2018.0,42101003100,+39.9323428,-075.1779572
25000.0,2018.0,42101003200,+39.9333011,-075.1854187
32438.0,2018.0,42101003300,+39.9384405,-075.1958253
18920.0,2018.0,42101003600,+39.9279255,-075.1920206
30237.0,2018.0,42101003701,+39.9276728,-075.1806654
35267.0,2018.0,42101003702,+39.9245283,-075.1824354
59395.0,2018.0,42101003800,+39.9184658,-075.1831323
44643.0,2018.0,42101003901,+39.9238262,-075.1732854
62466.0,2018.0,42101003902,+39.9167178,-075.1744119
52250.0,2018.0,42101004001,+39.9238035,-075.1662102
58516.0,2018.0,42101004002,+39.9188943,-075.1674160
33149.0,2018.0,42101004101,+39.9229611,-075.1589741
39110.0,2018.0,42101004102,+39.9179425,-075.1600629
57670.0,2018.0,42101004201,+39.9219554,-075.1512640
51563.0,2018.0,42101004202,+39.9168570,-075.1516284
52557.0,2018.0,42101005400,+39.8904539,-075.2513923
55750.0,2018.0,42101005500,+39.9074191,-075.2489174
24167.0,2018.0,42101005600,+39.8988328,-075.2447347
40794.0,2018.0,42101006000,+39.9115196,-075.2381570
31950.0,2018.0,42101006100,+39.9150013,-075.2288094
26047.0,2018.0,42101006200,+39.9194134,-075.2335257
26849.0,2018.0,42101006300,+39.9210843,-075.2399762
27766.0,2018.0,42101006400,+39.9251805,-075.2428396
26981.0,2018.0,42101006500,+39.9330955,-075.2318406
20278.0,2018.0,42101006600,+39.9293155,-075.2298425
33760.0,2018.0,42101006700,+39.9242475,-075.2242816
19896.0,2018.0,42101006900,+39.9306204,-075.2146526
31556.0,2018.0,42101007000,+39.9351850,-075.2214770
24762.0,2018.0,42101007101,+39.9381580,-075.2249984
29183.0,2018.0,42101007102,+39.9409204,-075.2282511
29615.0,2018.0,42101007200,+39.9446370,-075.2332168
25227.0,2018.0,42101007300,+39.9448185,-075.2232916
29840.0,2018.0,42101007400,+39.9408575,-075.2143067
32277.0,2018.0,42101007700,+39.9463523,-075.2082584
37474.0,2018.0,42101007800,+39.9464580,-075.2162637
59050.0,2018.0,42101007900,+39.9504630,-075.2182570
41637.0,2018.0,42101008000,+39.9506613,-075.2268423
32277.0,2018.0,42101008101,+39.9483649,-075.2360506
27168.0,2018.0,42101008102,+39.9522216,-075.2345584
38034.0,2018.0,42101008200,+39.9491574,-075.2444494
34121.0,2018.0,42101008301,+39.9577810,-075.2467384
31015.0,2018.0,42101008302,+39.9566981,-075.2414378
35757.0,2018.0,42101008400,+39.9579899,-075.2354681
31842.0,2018.0,42101008500,+39.9568821,-075.2265389
53393.0,2018.0,42101008601,+39.9537341,-075.2165930
39543.0,2018.0,42101008602,+39.9569725,-075.2167030
44125.0,2018.0,42101008701,+39.9535656,-075.2104988
31823.0,2018.0,42101008702,+39.9538114,-075.2070435
30208.0,2018.0,42101008801,+39.9539319,-075.1984477
18667.0,2018.0,42101008802,+39.9529808,-075.2027893
23333.0,2018.0,42101009000,+39.9595116,-075.1906245
26426.0,2018.0,42101009100,+39.9594179,-075.1977245
21121.0,2018.0,42101009200,+39.9601608,-075.2074723
25884.0,2018.0,42101009300,+39.9622914,-075.2240225
16982.0,2018.0,42101009400,+39.9632709,-075.2322437
24792.0,2018.0,42101009500,+39.9658709,-075.2379140
27704.0,2018.0,42101009600,+39.9655396,-075.2435075
51250.0,2018.0,42101009801,+39.9775172,-075.2665972
54058.0,2018.0,42101009802,+39.9745879,-075.2679037
42256.0,2018.0,42101010000,+39.9710834,-075.2503759
45244.0,2018.0,42101010100,+39.9721396,-075.2425290
23247.0,2018.0,42101010200,+39.9680830,-075.2316701
22368.0,2018.0,42101010300,+39.9678322,-075.2254383
19424.0,2018.0,42101010400,+39.9654995,-075.2191193
21102.0,2018.0,42101010500,+39.9665652,-075.2142018
19111.0,2018.0,42101010600,+39.9646327,-075.2079213
19719.0,2018.0,42101010700,+39.9687475,-075.2069442
21739.0,2018.0,42101010800,+39.9660217,-075.1989890
23231.0,2018.0,42101010900,+39.9649286,-075.1917650
16910.0,2018.0,42101011000,+39.9737291,-075.2062951
31131.0,2018.0,42101011100,+39.9752003,-075.2215745
26453.0,2018.0,42101011200,+39.9736041,-075.2336533
34844.0,2018.0,42101011300,+39.9786554,-075.2353346
37911.0,2018.0,42101011400,+39.9807388,-075.2440178
49056.0,2018.0,42101011500,+39.9773687,-075.2518303
73083.0,2018.0,42101011700,+39.9919070,-075.2404371
41071.0,2018.0,42101011800,+39.9852889,-075.2357395
27038.0,2018.0,42101011900,+39.9861142,-075.2288429
65804.0,2018.0,42101012000,+39.9955323,-075.2297466
43125.0,2018.0,42101012100,+39.9964998,-075.2223795
26903.0,2018.0,42101012201,+40.0034648,-075.2106388
41250.0,2018.0,42101012203,+40.0074668,-075.2093526
52903.0,2018.0,42101012204,+40.0009407,-075.2120769
76599.0,2018.0,42101012500,+39.9613701,-075.1720837
42016.0,2018.0,42101013100,+39.9651312,-075.1507381
22788.0,2018.0,42101013200,+39.9662042,-075.1571335
71146.0,2018.0,42101013300,+39.9666126,-075.1629455
88019.0,2018.0,42101013401,+39.9659574,-075.1752507
94000.0,2018.0,42101013402,+39.9653623,-075.1690326
77429.0,2018.0,42101013500,+39.9693564,-075.1700367
104643.0,2018.0,42101013601,+39.9689697,-075.1785774
94129.0,2018.0,42101013602,+39.9715714,-075.1798097
42442.0,2018.0,42101013700,+39.9772752,-075.1842323
31939.0,2018.0,42101013800,+39.9764504,-075.1771771
22244.0,2018.0,42101013900,+39.9750563,-075.1711846
36923.0,2018.0,42101014000,+39.9735358,-075.1630966
22917.0,2018.0,42101014100,+39.9708771,-075.1524555
96544.0,2018.0,42101014200,+39.9652375,-075.1359612
82692.0,2018.0,42101014300,+39.9671225,-075.1265617
65781.0,2018.0,42101014400,+39.9722286,-075.1400952
18565.0,2018.0,42101014500,+39.9760715,-075.1484189
32357.0,2018.0,42101014600,+39.9764305,-075.1546990
11497.0,2018.0,42101014700,+39.9785489,-075.1620244
16250.0,2018.0,42101014800,+39.9802047,-075.1691610
16695.0,2018.0,42101014900,+39.9816503,-075.1804029
29118.0,2018.0,42101015101,+39.9869632,-075.1857502
16596.0,2018.0,42101015102,+39.9861430,-075.1794280
25617.0,2018.0,42101015200,+39.9854546,-075.1700491
16909.0,2018.0,42101015300,+39.9837644,-075.1608849
23375.0,2018.0,42101015600,+39.9790066,-075.1418910
40432.0,2018.0,42101015700,+39.9780463,-075.1355242
74261.0,2018.0,42101015800,+39.9735773,-075.1294327
60926.0,2018.0,42101016000,+39.9793809,-075.1231903
69263.0,2018.0,42101016100,+39.9844571,-075.1275250
25256.0,2018.0,42101016200,+39.9840197,-075.1384217
18569.0,2018.0,42101016300,+39.9885061,-075.1339156
17757.0,2018.0,42101016400,+39.9896437,-075.1431665
12839.0,2018.0,42101016500,+39.9890550,-075.1491723
15875.0,2018.0,42101016600,+39.9890491,-075.1536062
30503.0,2018.0,42101016701,+39.9911965,-075.1619017
16474.0,2018.0,42101016702,+39.9904175,-075.1578177
14704.0,2018.0,42101016800,+39.9917820,-075.1676540
21042.0,2018.0,42101016901,+39.9930523,-075.1758394
19749.0,2018.0,42101016902,+39.9939857,-075.1831934
42661.0,2018.0,42101017000,+40.0078614,-075.1834204
32027.0,2018.0,42101017100,+40.0027449,-075.1763248
29853.0,2018.0,42101017201,+39.9993972,-075.1686145
21371.0,2018.0,42101017202,+39.9986670,-075.1742061
18125.0,2018.0,42101017300,+39.9985707,-075.1609337
25052.0,2018.0,42101017400,+39.9962138,-075.1503586
18356.0,2018.0,42101017500,+39.9979150,-075.1429842
17392.0,2018.0,42101017601,+39.9939260,-075.1343448
19717.0,2018.0,42101017602,+39.9967182,-075.1305528
20058.0,2018.0,42101017701,+39.9964470,-075.1167526
18125.0,2018.0,42101017702,+39.9950621,-075.1231399
