,ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
62,2018,2018,0,Total,26981,5400.0,"Census Tract 65, Philadelphia County, PA",14000US42101006500
63,2018,2018,0,Total,20278,10470.0,"Census Tract 66, Philadelphia County, PA",14000US42101006600
64,2018,2018,0,Total,33760,6206.0,"Census Tract 67, Philadelphia County, PA",14000US42101006700
65,2018,2018,0,Total,19896,9185.0,"Census Tract 69, Philadelphia County, PA",14000US42101006900
66,2018,2018,0,Total,31556,6327.0,"Census Tract 70, Philadelphia County, PA",14000US42101007000
67,2018,2018,0,Total,24762,8583.0,"Census Tract 71.01, Philadelphia County, PA",14000US42101007101
68,2018,2018,0,Total,29183,8231.0,"Census Tract 71.02, Philadelphia County, PA",14000US42101007102
69,2018,2018,0,Total,29615,6553.0,"Census Tract 72, Philadelphia County, PA",14000US42101007200
70,2018,2018,0,Total,25227,11825.0,"Census Tract 73, Philadelphia County, PA",14000US42101007300
71,2018,2018,0,Total,29840,8333.0,"Census Tract 74, Philadelphia County, PA",14000US42101007400
72,2018,2018,0,Total,32277,15598.0,"Census Tract 77, Philadelphia County, PA",14000US42101007700
73,2018,2018,0,Total,37474,15164.0,"Census Tract 78, Philadelphia County, PA",14000US42101007800
74,2018,2018,0,Total,59050,14356.0,"Census Tract 79, Philadelphia County, PA",14000US42101007900
75,2018,2018,0,Total,41637,15113.0,"Census Tract 80, Philadelphia County, PA",14000US42101008000
76,2018,2018,0,Total,32277,15520.000000000002,"Census Tract 81.01, Philadelphia County, PA",14000US42101008101
77,2018,2018,0,Total,27168,9090.0,"Census Tract 81.02, Philadelphia County, PA",14000US42101008102
78,2018,2018,0,Total,38034,9610.0,"Census Tract 82, Philadelphia County, PA",14000US42101008200
79,2018,2018,0,Total,34121,7970.0,"Census Tract 83.01, Philadelphia County, PA",14000US42101008301
80,2018,2018,0,Total,31015,3076.0,"Census Tract 83.02, Philadelphia County, PA",14000US42101008302
81,2018,2018,0,Total,35757,9012.0,"Census Tract 84, Philadelphia County, PA",14000US42101008400
