recordnum,geoid,latitude,longitude,coordinate_0,coordinate_1
0,42101009400,+39.9632709,-075.2322437,2675024.65085323,238565.796414465
0,42101009400,+39.9632709,-075.2322437,2674877.64392939,238584.840011552
0,42101009400,+39.9632709,-075.2322437,2674747.49687998,238601.878035218
0,42101009400,+39.9632709,-075.2322437,2674591.31838655,238621.469859555
0,42101009400,+39.9632709,-075.2322437,2674482.96656914,238634.665043131
0,42101009400,+39.9632709,-075.2322437,2674289.67332056,238659.424179971
0,42101009400,+39.9632709,-075.2322437,2674012.8405409,238697.427384794
0,42101009400,+39.9632709,-075.2322437,2673816.91442356,238724.638616472
0,42101009400,+39.9632709,-075.2322437,2673651.36357357,238745.498154804
0,42101009400,+39.9632709,-075.2322437,2673446.39515148,238774.292716637
0,42101009400,+39.9632709,-075.2322437,2672900.60687298,238846.14231047
0,42101009400,+39.9632709,-075.2322437,2672931.04972547,239073.876763135
0,42101009400,+39.9632709,-075.2322437,2672939.28035206,239144.090533465
0,42101009400,+39.9632709,-075.2322437,2672951.57429072,239229.692724466
0,42101009400,+39.9632709,-075.2322437,2672975.94989814,239422.666747972
0,42101009400,+39.9632709,-075.2322437,2673015.37862507,239699.771508709
0,42101009400,+39.9632709,-075.2322437,2673049.32343906,239978.013734385
0,42101009400,+39.9632709,-075.2322437,2673086.24068806,240256.231681883
0,42101009400,+39.9632709,-075.2322437,2673123.46075799,240534.186506554
0,42101009400,+39.9632709,-075.2322437,2673401.52220973,240497.302722052
0,42101009400,+39.9632709,-075.2322437,2673669.13683198,240462.764077216
0,42101009400,+39.9632709,-075.2322437,2674236.14947748,240386.000779301
0,42101009400,+39.9632709,-075.2322437,2674270.56345065,240381.6562998
0,42101009400,+39.9632709,-075.2322437,2674304.25629665,240377.375140384
0,42101009400,+39.9632709,-075.2322437,2674485.79858448,240353.763967127
0,42101009400,+39.9632709,-075.2322437,2674554.47626865,240344.790887967
0,42101009400,+39.9632709,-075.2322437,2674790.07094181,240314.447116628
0,42101009400,+39.9632709,-075.2322437,2674895.79317132,240299.987827972
0,42101009400,+39.9632709,-075.2322437,2675099.36887965,240273.563012049
0,42101009400,+39.9632709,-075.2322437,2675421.34592597,240230.623137295
0,42101009400,+39.9632709,-075.2322437,2675383.2649654,239943.473449126
0,42101009400,+39.9632709,-075.2322437,2675367.61768697,239824.928410634
0,42101009400,+39.9632709,-075.2322437,2675347.8811779,239675.301085219
0,42101009400,+39.9632709,-075.2322437,2675273.56735015,239118.840255886
0,42101009400,+39.9632709,-075.2322437,2675198.28009914,238544.600590721
0,42101009400,+39.9632709,-075.2322437,2675024.65085323,238565.796414465
