ID_Geography,Household_Income_by_Race,ID_Year
14000US42101000100,102448,2018
14000US42101000200,47243,2018
14000US42101000300,91354,2018
14000US42101000401,62821,2018
14000US42101000402,78648,2018
14000US42101000500,43702,2018
14000US42101000600,82833,2018
14000US42101000700,55250,2018
14000US42101000801,125822,2018
14000US42101000803,59560,2018
14000US42101000804,92281,2018
14000US42101000901,44444,2018
14000US42101000902,59174,2018
14000US42101001001,104250,2018
14000US42101001002,122358,2018
14000US42101001101,65000,2018
14000US42101001102,64038,2018
14000US42101001201,107175,2018
14000US42101001202,80696,2018
14000US42101001300,111467,2018
14000US42101001400,94049,2018
14000US42101001500,66458,2018
14000US42101001600,96417,2018
14000US42101001700,108125,2018
14000US42101001800,86042,2018
14000US42101001900,91188,2018
14000US42101002000,42500,2018
14000US42101002100,53429,2018
14000US42101002200,63628,2018
14000US42101002300,64107,2018
14000US42101002400,74395,2018
14000US42101002500,60179,2018
14000US42101002701,54957,2018
14000US42101002702,66042,2018
14000US42101002801,52340,2018
14000US42101002802,67183,2018
14000US42101002900,52452,2018
14000US42101003001,51667,2018
14000US42101003002,32115,2018
14000US42101003100,37121,2018
14000US42101003200,25000,2018
14000US42101003300,32438,2018
14000US42101003600,18920,2018
14000US42101003701,30237,2018
14000US42101003702,35267,2018
14000US42101003800,59395,2018
14000US42101003901,44643,2018
14000US42101003902,62466,2018
14000US42101004001,52250,2018
14000US42101004002,58516,2018
14000US42101004101,33149,2018
14000US42101004102,39110,2018
14000US42101004201,57670,2018
14000US42101004202,51563,2018
14000US42101005400,52557,2018
14000US42101005500,55750,2018
14000US42101005600,24167,2018
14000US42101006000,40794,2018
14000US42101006100,31950,2018
14000US42101006200,26047,2018
14000US42101006300,26849,2018
14000US42101006400,27766,2018
14000US42101006500,26981,2018
14000US42101006600,20278,2018
14000US42101006700,33760,2018
14000US42101006900,19896,2018
14000US42101007000,31556,2018
14000US42101007101,24762,2018
14000US42101007102,29183,2018
14000US42101007200,29615,2018
14000US42101007300,25227,2018
14000US42101007400,29840,2018
14000US42101007700,32277,2018
14000US42101007800,37474,2018
14000US42101007900,59050,2018
14000US42101008000,41637,2018
14000US42101008101,32277,2018
14000US42101008102,27168,2018
14000US42101008200,38034,2018
14000US42101008301,34121,2018
14000US42101008302,31015,2018
14000US42101008400,35757,2018
14000US42101008500,31842,2018
14000US42101008601,53393,2018
14000US42101008602,39543,2018
14000US42101008701,44125,2018
14000US42101008702,31823,2018
14000US42101008801,30208,2018
14000US42101008802,18667,2018
14000US42101009000,23333,2018
14000US42101009100,26426,2018
14000US42101009200,21121,2018
14000US42101009300,25884,2018
14000US42101009400,16982,2018
14000US42101009500,24792,2018
14000US42101009600,27704,2018
14000US42101009801,51250,2018
14000US42101009802,54058,2018
14000US42101010000,42256,2018
14000US42101010100,45244,2018
14000US42101010200,23247,2018
14000US42101010300,22368,2018
14000US42101010400,19424,2018
14000US42101010500,21102,2018
14000US42101010600,19111,2018
14000US42101010700,19719,2018
14000US42101010800,21739,2018
14000US42101010900,23231,2018
14000US42101011000,16910,2018
14000US42101011100,31131,2018
14000US42101011200,26453,2018
14000US42101011300,34844,2018
14000US42101011400,37911,2018
14000US42101011500,49056,2018
14000US42101011700,73083,2018
14000US42101011800,41071,2018
14000US42101011900,27038,2018
14000US42101012000,65804,2018
14000US42101012100,43125,2018
14000US42101012201,26903,2018
14000US42101012203,41250,2018
14000US42101012204,52903,2018
14000US42101012500,76599,2018
14000US42101013100,42016,2018
14000US42101013200,22788,2018
14000US42101013300,71146,2018
14000US42101013401,88019,2018
14000US42101013402,94000,2018
14000US42101013500,77429,2018
14000US42101013601,104643,2018
14000US42101013602,94129,2018
14000US42101013700,42442,2018
14000US42101013800,31939,2018
14000US42101013900,22244,2018
14000US42101014000,36923,2018
14000US42101014100,22917,2018
14000US42101014200,96544,2018
14000US42101014300,82692,2018
14000US42101014400,65781,2018
14000US42101014500,18565,2018
14000US42101014600,32357,2018
14000US42101014700,11497,2018
14000US42101014800,16250,2018
14000US42101014900,16695,2018
14000US42101015101,29118,2018
14000US42101015102,16596,2018
14000US42101015200,25617,2018
14000US42101015300,16909,2018
14000US42101015600,23375,2018
14000US42101015700,40432,2018
14000US42101015800,74261,2018
14000US42101016000,60926,2018
14000US42101016100,69263,2018
14000US42101016200,25256,2018
14000US42101016300,18569,2018
14000US42101016400,17757,2018
14000US42101016500,12839,2018
14000US42101016600,15875,2018
14000US42101016701,30503,2018
14000US42101016702,16474,2018
14000US42101016800,14704,2018
14000US42101016901,21042,2018
14000US42101016902,19749,2018
14000US42101017000,42661,2018
14000US42101017100,32027,2018
14000US42101017201,29853,2018
14000US42101017202,21371,2018
14000US42101017300,18125,2018
14000US42101017400,25052,2018
14000US42101017500,18356,2018
14000US42101017601,17392,2018
14000US42101017602,19717,2018
14000US42101017701,20058,2018
14000US42101017702,18125,2018
14000US42101017800,20438,2018
14000US42101017900,34514,2018
14000US42101018001,61027,2018
14000US42101018002,37146,2018
14000US42101018300,69526,2018
14000US42101018400,54000,2018
14000US42101018800,25919,2018
14000US42101019000,35213,2018
14000US42101019100,38750,2018
14000US42101019200,27500,2018
14000US42101019501,15892,2018
14000US42101019502,23114,2018
14000US42101019700,19111,2018
14000US42101019800,25434,2018
14000US42101019900,18005,2018
14000US42101020000,22568,2018
14000US42101020101,15891,2018
14000US42101020102,39971,2018
14000US42101020200,18439,2018
14000US42101020300,24612,2018
14000US42101020400,25875,2018
14000US42101020500,17929,2018
14000US42101020600,47292,2018
14000US42101020700,81653,2018
